"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2000 17:25:29.253,1 Jan 2000 17:37:56.214,746.961
2,1 Jan 2000 19:13:43.850,1 Jan 2000 19:26:37.528,773.678
3,1 Jan 2000 21:04:16.224,1 Jan 2000 21:15:39.090,682.865
4,1 Jan 2000 22:54:25.793,1 Jan 2000 23:06:03.754,697.961
5,2 Jan 2000 00:43:16.113,2 Jan 2000 00:56:21.230,785.117
6,2 Jan 2000 02:32:06.238,2 Jan 2000 02:43:52.328,706.090
7,2 Jan 2000 16:12:42.961,2 Jan 2000 16:22:13.362,570.401
8,2 Jan 2000 17:58:31.447,2 Jan 2000 18:11:39.927,788.480
9,2 Jan 2000 19:48:04.576,2 Jan 2000 20:00:18.207,733.632
10,2 Jan 2000 21:38:45.868,2 Jan 2000 21:49:54.978,669.110
11,2 Jan 2000 23:28:15.917,2 Jan 2000 23:40:37.172,741.255
12,3 Jan 2000 01:16:53.283,3 Jan 2000 01:29:58.722,785.439
13,3 Jan 2000 03:06:32.741,3 Jan 2000 03:15:20.466,527.725
14,3 Jan 2000 16:44:26.607,3 Jan 2000 16:56:30.546,723.940
15,3 Jan 2000 18:32:15.272,3 Jan 2000 18:45:16.606,781.334
16,3 Jan 2000 20:22:39.285,3 Jan 2000 20:34:10.902,691.617
17,3 Jan 2000 22:12:58.475,3 Jan 2000 22:24:26.671,688.197
18,4 Jan 2000 00:01:55.304,4 Jan 2000 00:14:54.047,778.742
19,4 Jan 2000 01:50:39.389,4 Jan 2000 02:02:52.507,733.118
20,4 Jan 2000 15:32:10.545,4 Jan 2000 15:40:29.880,499.336
21,4 Jan 2000 17:17:15.284,4 Jan 2000 17:30:18.265,782.981
22,4 Jan 2000 19:06:29.733,4 Jan 2000 19:18:55.353,745.620
23,4 Jan 2000 20:57:12.007,4 Jan 2000 21:08:21.585,669.578
24,4 Jan 2000 22:46:52.748,4 Jan 2000 22:59:01.906,729.158
25,5 Jan 2000 00:35:31.820,5 Jan 2000 00:48:41.419,789.599
26,5 Jan 2000 02:24:52.015,5 Jan 2000 02:34:44.300,592.285
27,5 Jan 2000 16:03:28.532,5 Jan 2000 16:15:02.917,694.385
28,5 Jan 2000 17:50:48.950,5 Jan 2000 18:03:55.843,786.893
29,5 Jan 2000 19:41:02.181,5 Jan 2000 19:52:44.069,701.888
30,5 Jan 2000 21:31:29.765,5 Jan 2000 21:42:49.872,680.107
31,5 Jan 2000 23:20:34.286,5 Jan 2000 23:33:24.691,770.404
32,6 Jan 2000 01:09:14.325,6 Jan 2000 01:21:48.303,753.978
33,6 Jan 2000 03:01:03.059,6 Jan 2000 03:04:00.929,177.870
34,6 Jan 2000 14:51:51.824,6 Jan 2000 14:58:35.457,403.633
35,6 Jan 2000 16:36:02.383,6 Jan 2000 16:48:55.895,773.512
36,6 Jan 2000 18:24:56.229,6 Jan 2000 18:37:33.227,756.999
37,6 Jan 2000 20:15:36.991,6 Jan 2000 20:26:49.546,672.556
38,6 Jan 2000 22:05:28.638,6 Jan 2000 22:17:25.714,717.076
39,6 Jan 2000 23:54:10.779,7 Jan 2000 00:07:21.156,790.377
40,7 Jan 2000 01:43:16.885,7 Jan 2000 01:53:59.847,642.962
41,7 Jan 2000 15:22:35.667,7 Jan 2000 15:33:32.693,657.026
42,7 Jan 2000 17:09:25.099,7 Jan 2000 17:22:35.068,789.969
43,7 Jan 2000 18:59:25.251,7 Jan 2000 19:11:18.489,713.238
44,7 Jan 2000 20:49:59.624,7 Jan 2000 21:01:13.664,674.040
45,7 Jan 2000 22:39:12.897,7 Jan 2000 22:51:53.382,760.485
46,8 Jan 2000 00:27:50.631,8 Jan 2000 00:40:40.143,769.511
47,8 Jan 2000 02:18:25.209,8 Jan 2000 02:24:29.355,364.145
48,8 Jan 2000 14:12:00.403,8 Jan 2000 14:16:16.531,256.128
49,8 Jan 2000 15:54:53.018,8 Jan 2000 16:07:32.575,759.557
50,8 Jan 2000 17:43:24.342,8 Jan 2000 17:56:11.683,767.341
51,8 Jan 2000 19:34:01.030,8 Jan 2000 19:45:18.932,677.902
52,8 Jan 2000 21:24:03.442,8 Jan 2000 21:35:48.911,705.469
53,8 Jan 2000 23:12:49.970,8 Jan 2000 23:25:58.152,788.182
54,9 Jan 2000 01:01:45.647,9 Jan 2000 01:13:08.852,683.205
55,9 Jan 2000 14:41:48.949,9 Jan 2000 14:51:58.975,610.026
56,9 Jan 2000 16:28:03.927,9 Jan 2000 16:41:14.125,790.198
57,9 Jan 2000 18:17:48.825,9 Jan 2000 18:29:54.044,725.219
58,9 Jan 2000 20:08:28.046,9 Jan 2000 20:19:38.313,670.268
59,9 Jan 2000 21:57:50.981,9 Jan 2000 22:10:20.376,749.394
60,9 Jan 2000 23:46:27.985,9 Jan 2000 23:59:28.357,780.373
61,10 Jan 2000 01:36:25.307,10 Jan 2000 01:44:17.008,471.700
62,10 Jan 2000 15:13:47.488,10 Jan 2000 15:26:07.997,740.510
63,10 Jan 2000 17:01:54.327,10 Jan 2000 17:14:50.564,776.237
