"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2000 12:14:06.522,1 Jan 2000 14:10:48.559,7002.038
2,1 Jan 2000 18:58:45.827,1 Jan 2000 21:28:27.542,8981.715
3,2 Jan 2000 03:04:06.923,2 Jan 2000 05:19:31.518,8124.595
4,2 Jan 2000 09:30:40.474,2 Jan 2000 11:07:38.486,5818.012
5,2 Jan 2000 15:24:33.659,2 Jan 2000 17:44:06.710,8373.051
6,2 Jan 2000 23:29:17.369,3 Jan 2000 01:56:18.260,8820.891
7,3 Jan 2000 06:33:11.788,3 Jan 2000 08:22:52.967,6581.180
8,3 Jan 2000 12:23:53.874,3 Jan 2000 14:23:23.205,7169.331
9,3 Jan 2000 19:16:39.264,3 Jan 2000 21:47:28.910,9049.646
10,4 Jan 2000 03:17:44.366,4 Jan 2000 05:31:13.092,8008.726
11,4 Jan 2000 09:40:16.668,4 Jan 2000 11:18:05.614,5868.946
12,4 Jan 2000 15:37:29.302,4 Jan 2000 17:58:25.110,8455.808
13,4 Jan 2000 23:45:48.867,5 Jan 2000 02:11:51.628,8762.761
14,5 Jan 2000 06:45:06.272,5 Jan 2000 08:32:08.297,6422.025
15,5 Jan 2000 12:33:54.884,5 Jan 2000 14:36:07.688,7332.804
16,5 Jan 2000 19:35:16.455,5 Jan 2000 22:07:07.124,9110.669
17,6 Jan 2000 03:31:12.204,6 Jan 2000 05:42:35.226,7883.022
18,6 Jan 2000 09:49:42.454,6 Jan 2000 11:28:49.082,5946.628
19,6 Jan 2000 15:50:48.144,6 Jan 2000 18:12:58.711,8530.567
20,7 Jan 2000 00:01:47.071,7 Jan 2000 02:26:52.151,8705.079
21,7 Jan 2000 06:56:47.339,7 Jan 2000 08:41:20.244,6272.904
22,7 Jan 2000 12:44:11.031,7 Jan 2000 14:49:01.562,7490.531
23,7 Jan 2000 19:54:33.873,7 Jan 2000 22:27:06.824,9152.951
24,8 Jan 2000 03:44:30.857,8 Jan 2000 05:53:38.598,7747.741
25,8 Jan 2000 09:59:00.477,8 Jan 2000 11:39:48.785,6048.307
26,8 Jan 2000 16:04:31.539,8 Jan 2000 18:27:49.988,8598.450
27,9 Jan 2000 00:17:17.164,9 Jan 2000 02:41:22.611,8645.447
28,9 Jan 2000 07:08:14.051,9 Jan 2000 08:50:31.762,6137.711
29,9 Jan 2000 12:54:43.537,9 Jan 2000 15:02:04.534,7640.997
30,9 Jan 2000 20:14:21.972,9 Jan 2000 22:47:07.478,9165.505
31,10 Jan 2000 03:57:40.517,10 Jan 2000 06:04:23.967,7603.450
32,10 Jan 2000 10:08:13.642,10 Jan 2000 11:51:04.230,6170.588
33,10 Jan 2000 16:18:41.144,10 Jan 2000 18:43:02.080,8660.936
34,11 Jan 2000 00:32:23.622,11 Jan 2000 02:55:25.368,8581.747
35,11 Jan 2000 07:19:25.551,11 Jan 2000 08:59:45.880,6020.330
36,11 Jan 2000 13:05:33.412,11 Jan 2000 15:15:16.475,7783.064
37,11 Jan 2000 20:34:24.411,11 Jan 2000 23:06:49.060,9144.649
38,12 Jan 2000 04:10:41.192,12 Jan 2000 06:14:52.207,7451.014
39,12 Jan 2000 10:17:24.977,12 Jan 2000 12:02:34.686,6309.709
40,12 Jan 2000 16:33:19.021,12 Jan 2000 18:58:38.874,8719.853
41,13 Jan 2000 00:47:10.132,13 Jan 2000 03:09:02.368,8512.235
42,13 Jan 2000 07:30:21.147,13 Jan 2000 09:09:05.614,5924.467
43,13 Jan 2000 13:16:41.496,13 Jan 2000 15:28:37.444,7915.948
44,13 Jan 2000 20:54:20.476,13 Jan 2000 23:25:56.873,9096.397
45,14 Jan 2000 04:23:32.712,14 Jan 2000 06:25:04.374,7291.662
46,14 Jan 2000 10:26:37.516,14 Jan 2000 12:14:19.262,6461.747
47,14 Jan 2000 16:48:27.627,14 Jan 2000 19:14:45.043,8777.416
48,15 Jan 2000 01:01:39.652,15 Jan 2000 03:22:15.189,8435.537
49,15 Jan 2000 07:41:00.452,15 Jan 2000 09:18:33.812,5853.360
50,15 Jan 2000 13:28:08.518,15 Jan 2000 15:42:07.681,8039.163
51,15 Jan 2000 21:13:50.472,15 Jan 2000 23:44:23.071,9032.600
52,16 Jan 2000 04:36:14.740,16 Jan 2000 06:35:01.760,7127.021
53,16 Jan 2000 10:35:54.157,16 Jan 2000 12:26:17.011,6622.854
54,16 Jan 2000 17:04:09.845,16 Jan 2000 19:31:25.894,8836.049
55,17 Jan 2000 01:15:54.507,17 Jan 2000 03:35:05.109,8350.602
56,17 Jan 2000 07:51:23.463,17 Jan 2000 09:28:13.030,5809.568
57,17 Jan 2000 13:39:55.147,17 Jan 2000 15:55:47.664,8152.517
58,17 Jan 2000 21:32:40.951,18 Jan 2000 00:02:05.324,8964.373
59,18 Jan 2000 04:48:46.787,18 Jan 2000 06:44:45.906,6959.119
60,18 Jan 2000 10:45:17.602,18 Jan 2000 12:38:27.001,6789.399
61,18 Jan 2000 17:20:28.887,18 Jan 2000 19:48:46.804,8897.917
62,19 Jan 2000 01:29:56.501,19 Jan 2000 03:47:33.159,8256.659
63,19 Jan 2000 08:01:30.669,19 Jan 2000 09:38:05.390,5794.721
64,19 Jan 2000 13:52:02.054,19 Jan 2000 16:09:38.106,8256.052
65,19 Jan 2000 21:50:46.406,20 Jan 2000 00:19:04.721,8898.315
66,20 Jan 2000 05:01:08.220,20 Jan 2000 06:54:18.653,6790.433
67,20 Jan 2000 10:54:50.287,20 Jan 2000 12:50:48.369,6958.082
68,20 Jan 2000 17:37:28.027,20 Jan 2000 20:06:51.983,8963.957
69,21 Jan 2000 01:43:47.009,21 Jan 2000 03:59:40.193,8153.184
70,21 Jan 2000 08:11:23.114,21 Jan 2000 09:48:12.503,5809.389
71,21 Jan 2000 14:04:29.973,21 Jan 2000 16:23:40.026,8350.053
72,21 Jan 2000 22:08:07.587,22 Jan 2000 00:35:23.998,8836.412
73,22 Jan 2000 05:13:18.282,22 Jan 2000 07:03:42.148,6623.865
74,22 Jan 2000 11:04:34.355,22 Jan 2000 13:03:20.353,7125.998
75,22 Jan 2000 17:55:10.011,22 Jan 2000 20:25:42.192,9032.181
76,23 Jan 2000 01:57:27.055,23 Jan 2000 04:11:26.944,8039.890
77,23 Jan 2000 08:21:02.407,23 Jan 2000 09:58:35.414,5853.007
78,23 Jan 2000 14:17:19.755,23 Jan 2000 16:37:54.794,8435.039
79,23 Jan 2000 22:24:48.668,24 Jan 2000 00:51:06.435,8777.766
80,24 Jan 2000 05:25:16.109,24 Jan 2000 07:12:58.824,6462.715
81,24 Jan 2000 11:14:31.653,24 Jan 2000 13:16:02.319,7290.667
82,24 Jan 2000 18:13:35.941,24 Jan 2000 20:45:11.978,9096.037
83,25 Jan 2000 02:10:57.351,25 Jan 2000 04:22:54.085,7916.734
84,25 Jan 2000 08:30:30.664,25 Jan 2000 10:09:14.622,5923.959
85,25 Jan 2000 14:30:32.433,25 Jan 2000 16:52:24.217,8511.784
86,25 Jan 2000 22:40:55.034,26 Jan 2000 01:06:15.235,8720.200
87,26 Jan 2000 05:37:00.767,26 Jan 2000 07:22:11.380,6310.613
88,26 Jan 2000 11:24:43.728,26 Jan 2000 13:28:53.784,7450.056
89,26 Jan 2000 18:32:43.522,26 Jan 2000 21:05:07.937,9144.415
90,27 Jan 2000 02:24:18.374,27 Jan 2000 04:34:02.283,7783.909
91,27 Jan 2000 08:39:50.443,27 Jan 2000 10:20:10.124,6019.681
92,27 Jan 2000 14:44:09.281,27 Jan 2000 17:07:10.614,8581.333
93,27 Jan 2000 22:56:31.994,28 Jan 2000 01:20:53.295,8661.301
94,28 Jan 2000 05:48:31.312,28 Jan 2000 07:31:22.719,6171.407
95,28 Jan 2000 11:35:11.866,28 Jan 2000 13:41:54.404,7602.538
96,28 Jan 2000 18:52:24.933,28 Jan 2000 21:25:10.404,9165.472
97,29 Jan 2000 02:37:30.372,29 Jan 2000 04:44:52.265,7641.893
98,29 Jan 2000 08:49:04.587,29 Jan 2000 10:31:21.524,6136.937
99,29 Jan 2000 14:58:11.877,29 Jan 2000 17:22:16.938,8645.060
100,29 Jan 2000 23:11:44.226,30 Jan 2000 01:35:03.072,8598.847
101,30 Jan 2000 05:59:46.853,30 Jan 2000 07:40:35.861,6049.008
102,30 Jan 2000 11:45:57.125,30 Jan 2000 13:55:04.007,7746.881
103,30 Jan 2000 19:12:25.531,30 Jan 2000 21:44:58.645,9153.115
104,31 Jan 2000 02:50:33.399,31 Jan 2000 04:55:24.879,7491.481
105,31 Jan 2000 08:58:16.107,31 Jan 2000 10:42:48.145,6272.038
106,31 Jan 2000 15:12:42.157,31 Jan 2000 17:37:46.871,8704.714
107,31 Jan 2000 23:26:35.621,1 Feb 2000 01:48:46.619,8530.998
108,1 Feb 2000 06:10:46.651,1 Feb 2000 07:49:53.850,5947.199
109,1 Feb 2000 11:57:00.387,1 Feb 2000 14:08:22.607,7882.219
110,1 Feb 2000 19:32:25.307,1 Feb 2000 22:04:16.289,9110.982
111,2 Feb 2000 03:03:27.328,2 Feb 2000 05:05:41.124,7333.795
112,2 Feb 2000 09:07:28.045,2 Feb 2000 10:54:29.130,6421.085
113,2 Feb 2000 15:27:42.490,2 Feb 2000 17:53:44.888,8762.398
114,2 Feb 2000 23:41:09.320,3 Feb 2000 02:02:05.608,8456.288
115,3 Feb 2000 06:21:30.216,3 Feb 2000 07:59:19.580,5869.364
116,3 Feb 2000 12:08:22.404,3 Feb 2000 14:21:50.391,8007.987
117,3 Feb 2000 19:52:03.711,3 Feb 2000 22:22:53.750,9050.039
118,4 Feb 2000 03:16:11.870,4 Feb 2000 05:15:42.224,7170.354
119,4 Feb 2000 09:16:43.346,4 Feb 2000 11:06:23.536,6580.190
120,4 Feb 2000 15:43:15.643,4 Feb 2000 18:10:16.162,8820.519
121,4 Feb 2000 23:55:27.805,5 Feb 2000 02:15:01.387,8373.582
122,5 Feb 2000 06:31:57.447,5 Feb 2000 08:08:55.703,5818.256
123,5 Feb 2000 12:20:03.857,5 Feb 2000 14:35:27.771,8123.914
124,5 Feb 2000 20:11:05.342,5 Feb 2000 22:40:47.458,8982.117
125,6 Feb 2000 03:28:46.574,6 Feb 2000 05:25:29.653,7003.079
126,6 Feb 2000 09:26:04.771,6 Feb 2000 11:18:30.424,6745.652
127,6 Feb 2000 15:59:24.766,6 Feb 2000 18:27:26.147,8881.380
128,7 Feb 2000 00:09:33.007,7 Feb 2000 02:27:35.056,8282.048
129,7 Feb 2000 06:42:08.696,7 Feb 2000 08:18:44.462,5795.766
130,7 Feb 2000 12:32:05.413,7 Feb 2000 14:49:15.403,8229.990
131,7 Feb 2000 20:29:22.670,7 Feb 2000 22:57:57.810,8915.140
132,8 Feb 2000 03:41:10.845,8 Feb 2000 05:35:05.184,6834.340
133,8 Feb 2000 09:35:34.832,8 Feb 2000 11:30:48.905,6914.073
134,8 Feb 2000 16:16:13.156,8 Feb 2000 18:45:19.524,8946.369
135,9 Feb 2000 00:23:26.400,9 Feb 2000 02:39:47.498,8181.098
136,9 Feb 2000 06:52:04.861,9 Feb 2000 08:28:47.609,5802.748
137,9 Feb 2000 12:44:27.781,9 Feb 2000 15:03:14.216,8326.435
138,9 Feb 2000 20:46:55.088,9 Feb 2000 23:14:27.241,8852.154
139,10 Feb 2000 03:53:23.954,10 Feb 2000 05:44:30.870,6666.916
140,10 Feb 2000 09:45:15.746,10 Feb 2000 11:43:18.190,7082.445
141,10 Feb 2000 16:33:43.775,10 Feb 2000 19:03:58.220,9014.445
142,11 Feb 2000 00:37:09.096,11 Feb 2000 02:51:39.471,8070.375
143,11 Feb 2000 07:01:47.403,11 Feb 2000 08:39:06.332,5838.929
144,11 Feb 2000 12:57:11.774,11 Feb 2000 15:17:25.483,8413.709
145,11 Feb 2000 21:03:46.120,11 Feb 2000 23:30:18.968,8792.848
146,12 Feb 2000 04:05:25.061,12 Feb 2000 05:53:49.074,6504.013
147,12 Feb 2000 09:55:09.435,12 Feb 2000 11:55:57.609,7248.174
148,12 Feb 2000 16:51:58.298,12 Feb 2000 19:23:18.657,9080.359
149,13 Feb 2000 00:50:41.879,13 Feb 2000 03:03:11.663,7949.785
150,13 Feb 2000 07:11:18.306,13 Feb 2000 08:49:41.270,5902.964
151,13 Feb 2000 13:10:18.370,13 Feb 2000 15:31:50.883,8492.513
152,13 Feb 2000 21:20:01.007,13 Feb 2000 23:45:36.244,8735.237
153,14 Feb 2000 04:17:13.243,14 Feb 2000 06:03:02.431,6349.188
154,14 Feb 2000 10:05:17.522,14 Feb 2000 12:08:46.631,7409.108
155,14 Feb 2000 17:10:55.509,14 Feb 2000 19:43:09.508,9133.999
156,15 Feb 2000 01:04:05.283,15 Feb 2000 03:14:24.732,7819.449
157,15 Feb 2000 07:20:40.029,15 Feb 2000 09:00:32.546,5992.517
158,15 Feb 2000 13:23:48.774,15 Feb 2000 15:46:32.595,8563.821
159,15 Feb 2000 21:35:45.148,16 Feb 2000 00:00:22.061,8676.913
160,16 Feb 2000 04:28:47.555,16 Feb 2000 06:12:13.800,6206.245
161,16 Feb 2000 10:15:41.360,16 Feb 2000 12:21:44.885,7563.525
162,16 Feb 2000 17:30:29.228,16 Feb 2000 20:03:12.343,9163.115
163,17 Feb 2000 01:17:19.618,17 Feb 2000 03:25:19.388,7679.770
164,17 Feb 2000 07:29:55.356,17 Feb 2000 09:11:39.854,6104.498
165,17 Feb 2000 13:37:44.483,17 Feb 2000 16:01:33.396,8628.913
166,17 Feb 2000 21:51:03.418,18 Feb 2000 00:14:38.992,8615.574
167,18 Feb 2000 04:40:07.085,18 Feb 2000 06:21:26.181,6079.096
168,18 Feb 2000 10:26:22.063,18 Feb 2000 12:34:52.153,7710.090
169,18 Feb 2000 17:50:26.605,18 Feb 2000 20:23:06.116,9159.511
170,19 Feb 2000 01:30:24.988,19 Feb 2000 03:35:56.439,7531.452
171,19 Feb 2000 07:39:07.266,19 Feb 2000 09:23:02.588,6235.322
172,19 Feb 2000 13:52:07.336,19 Feb 2000 16:16:56.769,8689.433
173,19 Feb 2000 22:05:59.916,20 Feb 2000 00:28:29.203,8549.288
174,20 Feb 2000 04:51:11.044,20 Feb 2000 06:30:42.619,5971.575
175,20 Feb 2000 10:37:20.556,20 Feb 2000 12:48:08.396,7847.840
176,20 Feb 2000 18:10:28.667,20 Feb 2000 20:42:32.945,9124.278
177,21 Feb 2000 01:43:21.312,21 Feb 2000 03:46:16.841,7375.529
178,21 Feb 2000 07:48:18.806,21 Feb 2000 09:34:39.919,6381.113
179,21 Feb 2000 14:06:59.586,21 Feb 2000 16:32:46.993,8747.408
