"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2000 12:29:05.199,1 Jan 2000 23:28:41.346,39576.148
2,2 Jan 2000 03:13:52.545,2 Jan 2000 08:39:25.064,19532.519
3,2 Jan 2000 12:24:33.777,2 Jan 2000 23:24:09.925,39576.147
4,3 Jan 2000 03:09:20.993,3 Jan 2000 08:34:53.524,19532.531
5,3 Jan 2000 12:20:02.356,3 Jan 2000 23:19:38.504,39576.148
6,4 Jan 2000 03:04:49.439,4 Jan 2000 08:30:21.985,19532.546
7,4 Jan 2000 12:15:30.935,4 Jan 2000 23:15:07.082,39576.148
8,5 Jan 2000 03:00:17.885,5 Jan 2000 08:25:50.449,19532.563
9,5 Jan 2000 12:10:59.513,5 Jan 2000 23:10:35.661,39576.148
10,6 Jan 2000 02:55:46.331,6 Jan 2000 08:21:18.915,19532.584
11,6 Jan 2000 12:06:28.092,6 Jan 2000 23:06:04.240,39576.148
12,7 Jan 2000 02:51:14.777,7 Jan 2000 08:16:47.382,19532.605
13,7 Jan 2000 12:01:56.671,7 Jan 2000 23:01:32.819,39576.148
14,8 Jan 2000 02:46:43.225,8 Jan 2000 08:12:15.852,19532.627
15,8 Jan 2000 11:57:25.250,8 Jan 2000 22:57:01.398,39576.148
16,9 Jan 2000 02:42:11.674,9 Jan 2000 08:07:44.322,19532.648
17,9 Jan 2000 11:52:53.829,9 Jan 2000 22:52:29.977,39576.148
18,10 Jan 2000 02:37:40.126,10 Jan 2000 08:03:12.792,19532.665
19,10 Jan 2000 11:48:22.409,10 Jan 2000 22:47:58.557,39576.148
20,11 Jan 2000 02:33:08.581,11 Jan 2000 07:58:41.261,19532.680
21,11 Jan 2000 11:43:50.988,11 Jan 2000 22:43:27.136,39576.148
22,12 Jan 2000 02:28:37.036,12 Jan 2000 07:54:09.727,19532.691
23,12 Jan 2000 11:39:19.567,12 Jan 2000 22:38:55.715,39576.148
24,13 Jan 2000 02:24:05.493,13 Jan 2000 07:49:38.191,19532.698
25,13 Jan 2000 11:34:48.146,13 Jan 2000 22:34:24.294,39576.148
26,14 Jan 2000 02:19:33.949,14 Jan 2000 07:45:06.653,19532.704
27,14 Jan 2000 11:30:16.725,14 Jan 2000 22:29:52.873,39576.148
28,15 Jan 2000 02:15:02.404,15 Jan 2000 07:40:35.113,19532.709
29,15 Jan 2000 11:25:45.304,15 Jan 2000 22:25:21.452,39576.148
30,16 Jan 2000 02:10:30.856,16 Jan 2000 07:36:03.572,19532.717
31,16 Jan 2000 11:21:13.883,16 Jan 2000 22:20:50.031,39576.148
32,17 Jan 2000 02:05:59.304,17 Jan 2000 07:31:32.032,19532.728
33,17 Jan 2000 11:16:42.462,17 Jan 2000 22:16:18.609,39576.148
34,18 Jan 2000 02:01:27.749,18 Jan 2000 07:27:00.495,19532.746
35,18 Jan 2000 11:12:11.040,18 Jan 2000 22:11:47.188,39576.148
36,19 Jan 2000 01:56:56.192,19 Jan 2000 07:22:28.961,19532.769
37,19 Jan 2000 11:07:39.619,19 Jan 2000 22:07:15.767,39576.148
38,20 Jan 2000 01:52:24.636,20 Jan 2000 07:17:57.432,19532.796
39,20 Jan 2000 11:03:08.198,20 Jan 2000 22:02:44.346,39576.148
40,21 Jan 2000 01:47:53.081,21 Jan 2000 07:13:25.905,19532.824
41,21 Jan 2000 10:58:36.777,21 Jan 2000 21:58:12.925,39576.148
42,22 Jan 2000 01:43:21.530,22 Jan 2000 07:08:54.379,19532.849
43,22 Jan 2000 10:54:05.356,22 Jan 2000 21:53:41.504,39576.148
44,23 Jan 2000 01:38:49.983,23 Jan 2000 07:04:22.852,19532.869
45,23 Jan 2000 10:49:33.936,23 Jan 2000 21:49:10.084,39576.148
46,24 Jan 2000 01:34:18.439,24 Jan 2000 06:59:51.322,19532.883
47,24 Jan 2000 10:45:02.515,24 Jan 2000 21:44:38.663,39576.148
48,25 Jan 2000 01:29:46.897,25 Jan 2000 06:55:19.789,19532.892
49,25 Jan 2000 10:40:31.094,25 Jan 2000 21:40:07.242,39576.148
50,26 Jan 2000 01:25:15.356,26 Jan 2000 06:50:48.253,19532.897
51,26 Jan 2000 10:35:59.674,26 Jan 2000 21:35:35.822,39576.148
52,27 Jan 2000 01:20:43.813,27 Jan 2000 06:46:16.714,19532.901
53,27 Jan 2000 10:31:28.253,27 Jan 2000 21:31:04.401,39576.148
54,28 Jan 2000 01:16:12.269,28 Jan 2000 06:41:45.175,19532.906
